add_code,base_code,delta,cn_name,en_name
423706,423705,1,铁骑士 基亚·弗里德,Gearfried the Iron Knight
759394,759393,1,火灵使 希塔,Hiita the Fire Charmer
759395,759393,2,火灵使 希塔,Hiita the Fire Charmer
1264320,1264319,1,宝石骑士融合,Gem-Knight Fusion
1546124,1546123,1,电子终结龙,Cyber End Dragon
2295441,2295440,1,一对一,One for One
4376659,4376658,1,凭依装着-希塔,Familiar-Possessed - Hiita
6007214,6007213,1,神炎皇 乌利亚,"Uria, Lord of Searing Flames"
6150045,6150044,1,天位骑士,Arcana Knight Joker
6368039,6368038,1,暗黑骑士 盖亚,Gaia The Fierce Knight
10000001,10000000,1,欧贝利斯克之巨神兵,Obelisk the Tormentor
10000002,10000000,2,欧贝利斯克之巨神兵,Obelisk the Tormentor
10000011,10000010,1,太阳神之翼神龙,The Winged Dragon of Ra
10000012,10000010,2,太阳神之翼神龙,The Winged Dragon of Ra
10000021,10000020,1,奥西里斯之天空龙,Slifer the Sky Dragon
10000022,10000020,2,奥西里斯之天空龙,Slifer the Sky Dragon
10802916,10802915,1,由魔界到现世的死亡导游,Tour Guide From the Underworld
12580478,12580477,1,雷击,Raigeki
14878872,14878871,1,救援猫,Rescue Cat
14898067,14898066,1,血腥魔兽人,Vorse Raider
15259704,15259703,1,卡通世界,Toon World
17548457,17548456,1,朱罗纪陨石兽,Jurrac Meteor
18144507,18144506,1,鹰身女妖的羽毛扫,Harpie's Feather Duster
18144508,18144506,2,鹰身女妖的羽毛扫,Harpie's Feather Duster
18807109,18807108,1,六芒星之咒缚,Spellbinding Circle
19230408,19230407,1,给死者的供物,Offerings to the Doomed
19327349,19327348,1,暗灵使 达克,Dharc the Dark Charmer
20721929,20721928,1,元素英雄 电光侠,Elemental HERO Sparkman
21143941,21143940,1,假面变化,Mask Change
21844577,21844576,1,元素英雄 羽翼侠,Elemental HERO Avian
23171611,23171610,1,限制解除,Limiter Removal
23401840,23401839,1,千手神,Senju of the Thousand Hands
23995347,23995346,1,青眼究极龙,Blue-Eyes Ultimate Dragon
23995348,23995346,2,青眼究极龙,Blue-Eyes Ultimate Dragon
23995349,23995346,3,青眼究极龙,Blue-Eyes Ultimate Dragon
24094654,24094653,1,融合,Polymerization
24094655,24094653,2,融合,Polymerization
24433921,24433920,1,单摆刃拷问机械,Pendulum Machine
27911550,27911549,1,寄生虫 帕拉赛德,Parasite Paracide
29843095,29843091,4,扰乱三人组,Ojama Trio
31122091,31122090,1,逆转之女神,Gyakutenno Megami
31305912,31305911,1,棉花糖,Marshmallon
31764354,31764353,1,凭依装着-薇茵,Familiar-Possessed - Wynn
31887906,31887905,1,凭依装着-奥丝,Familiar-Possessed - Aussa
32003339,32003338,1,No.34 电算机兽 太字节,Number 34: Terror-Byte
32012842,32012841,1,千年盾,Millennium Shield
32274491,32274490,1,白骨,Skull Servant
32807847,32807846,1,增援,Reinforcement of the Army
32807848,32807846,2,增援,Reinforcement of the Army
33396949,33396948,1,被封印的艾克佐迪亚,Exodia the Forbidden One
33396950,33396948,2,被封印的艾克佐迪亚,Exodia the Forbidden One
33396951,33396948,3,被封印的艾克佐迪亚,Exodia the Forbidden One
35686188,35686187,1,断头台的惨剧,Tragedy
35809263,35809262,1,元素英雄 火焰翼侠,Elemental HERO Flame Wingman
36354008,36354007,1,闪电之战士 吉尔福德,Gilford the Lightning
37390590,37390589,1,附锁链的回力镖,Kunai with Chain
37742479,37742478,1,欧尼斯特,Honest
37744403,37744402,1,风灵使 薇茵,Wynn the Wind Charmer
37744404,37744402,2,风灵使 薇茵,Wynn the Wind Charmer
37970941,37970940,1,地灵使 奥丝,Aussa the Earth Charmer
37970942,37970940,2,地灵使 奥丝,Aussa the Earth Charmer
38033120,38033121,-1,黑魔术少女,Dark Magician Girl
38033122,38033121,1,黑魔术少女,Dark Magician Girl
38033123,38033121,2,黑魔术少女,Dark Magician Girl
38033124,38033121,3,黑魔术少女,Dark Magician Girl
38033125,38033121,4,黑魔术少女,Dark Magician Girl
38033126,38033121,5,黑魔术少女,Dark Magician Girl
39751094,39751093,1,龙宫之姬,Otohime
40044919,40044918,1,元素英雄 天空侠,Elemental HERO Stratos
40640058,40640057,1,栗子球,Kuriboh
40640059,40640057,2,栗子球,Kuriboh
41356846,41356845,1,蓄积硫酸的落穴,Acid Trap Hole
41462084,41462083,1,千年龙,Thousand Dragon
42035045,42035044,1,漆黑之豹战士,Panther Warrior
44330100,44330098,2,冥府之使者 格斯,Gorz the Emissary of Darkness
44508095,44508094,1,星尘龙,Stardust Dragon
44508096,44508094,2,星尘龙,Stardust Dragon
45231178,45231177,1,炎之剑士,Flame Swordsman
46986409,46986414,-5,黑魔术师,Dark Magician
46986410,46986414,-4,黑魔术师,Dark Magician
46986411,46986414,-3,黑魔术师,Dark Magician
46986412,46986414,-2,黑魔术师,Dark Magician
46986413,46986414,-1,黑魔术师,Dark Magician
46986415,46986414,1,黑魔术师,Dark Magician
46986416,46986414,2,黑魔术师,Dark Magician
46986417,46986414,3,黑魔术师,Dark Magician
46986418,46986414,4,黑魔术师,Dark Magician
46986419,46986414,5,黑魔术师,Dark Magician
47852925,47852924,1,天使的鲜血,Soul of the Pure
49791928,49791927,1,老虎斧战士,Tiger Axe
53183601,53183600,1,青眼卡通龙,Blue-Eyes Toon Dragon
56043447,56043446,1,万力魔神 死亡拷问机,Viser Des
56993277,56993276,1,电气抵消,Wattcancel
57116034,57116033,1,羽翼栗子球,Winged Kuriboh
57728571,57728570,1,死之卡组破坏病毒,Crush Card Virus
58932616,58932615,1,元素英雄 爆热女郎,Elemental HERO Burstinatrix
60800382,60800381,1,废品战士,Junk Warrior
60800383,60800381,2,废品战士,Junk Warrior
60800384,60800381,3,废品战士,Junk Warrior
61257790,61257789,1,星尘龙/爆裂体,Stardust Dragon/Assault Mode
64034256,64034255,1,盟军·次世代鸟人兵,Genex Ally Birdman
64335805,64335804,1,真红眼黑钢龙,Red-Eyes Black Metal Dragon
64382841,64382840,1,地外生命衍生物,Eva Token
68540059,68540058,1,金属化·魔法反射装甲,Metalmorph
68881650,68881649,1,凭依装着-艾莉娅,Familiar-Possessed - Eria
69140099,69140098,1,双生精灵,Gemini Elf
70095155,70095154,1,电子龙,Cyber Dragon
70781053,70781052,1,恶魔召唤,Summoned Skull
70781054,70781052,2,恶魔召唤,Summoned Skull
70781055,70781052,3,恶魔召唤,Summoned Skull
70781057,70781052,5,恶魔召唤,Summoned Skull
71413902,71413901,1,魔导战士 破坏者,Breaker the Magical Warrior
71564253,71564252,1,雷王,Thunder King Rai-Oh
71625223,71625222,1,时间魔术师,Time Wizard
72443569,72443568,1,沉默魔术师 LV8,Silent Magician LV8
72989440,72989439,1,混沌战士 -开辟的使者-,Black Luster Soldier - Envoy of the Beginning
73134082,73134081,1,火刑,Final Flame
73318864,73318863,1,光灵使 莱娜,Lyna the Light Charmer
73580472,73580471,1,黑蔷薇龙,Black Rose Dragon
74364660,74364659,1,水灵使 艾莉娅,Eria the Water Charmer
74364661,74364659,2,水灵使 艾莉娅,Eria the Water Charmer
74677423,74677422,1,真红眼黑龙,Red-Eyes Black Dragon
74677424,74677422,2,真红眼黑龙,Red-Eyes Black Dragon
74677425,74677422,3,真红眼黑龙,Red-Eyes Black Dragon
74677426,74677422,4,真红眼黑龙,Red-Eyes Black Dragon
74677427,74677422,5,真红眼黑龙,Red-Eyes Black Dragon
77585514,77585513,1,人造人-念力震慑者,Jinzo
77754945,77754944,1,万能地雷 阔剑式,Widespread Ruin
78193832,78193831,1,破坏之剑士,Buster Blader
78193833,78193831,2,破坏之剑士,Buster Blader
80193356,80193355,1,救出剧,Dramatic Rescue
80604092,80604091,1,血之代偿,Ultimate Offering
81172177,81172176,1,恶魔喜剧演员,Fiend Comedian
81439174,81439173,1,愚蠢的埋葬,Foolish Burial
83011278,83011277,1,杀人番茄,Mystic Tomato
83555667,83555666,1,破坏轮,Ring of Destruction
83764719,83764718,1,死者苏生,Monster Reborn
83764720,83764718,2,死者苏生,Monster Reborn
83965311,83965310,1,命运英雄 血魔-D,Destiny HERO - Plasma
84013238,84013237,1,No.39 希望皇 霍普,Number 39: Utopia
84013239,84013237,2,No.39 希望皇 霍普,Number 39: Utopia
84013240,84013237,3,No.39 希望皇 霍普,Number 39: Utopia
