card_id,old_setcode,new_setcode,card_name
612115,25,4121,剑斗兽 网斗
1371589,0,470,吸血树熊
1498130,61,4157,六武众的影武者
2067935,25,4121,剑斗兽 教斗
2511717,61,4157,真六武众-阴鬼
2619149,25,4121,剑斗兽 盾斗
3627449,82,8274,法理守护者
4253484,25,4121,剑斗兽 重斗
4779091,0,421,于贝尔-被憎恶的骑士
5975022,25,4121,剑斗兽 鱼斗
7243511,0,470,树熊海獭树熊
7369217,0,442,金属化寄生生物-月之衣
7653207,0,450,喷水引擎
8198712,0,474,世界末日
8730435,4522009,4526105,剑斗兽的斗器 恶魔之盾
9264485,0,413,荷鲁斯的仆人
9780364,0,25,剑斗调教
10485110,0,485,海龙神-尼奥泰达路斯
10875327,33,4129,地缚神 阿斯利亚·皮斯科
11224103,65,295501889,荷鲁斯之黑炎龙 LV6
12503902,0,442,稀有金属化·魔法反射装甲
14507213,0,23,同调素材
15187079,33,4129,地缚神 乌鲁
15839054,0,23,同调融合者
20193924,0,489,白夜之女王
20358953,0,440,巡洋鲨
20838380,0,440,粘鲨印鱼
21879581,0,23,同调障壁
23212990,0,8253,六武式风雷斩
23756165,65,4259843,魅惑的女王 LV5
24285858,0,25,剑斗归还
24545464,0,23,同调体反射
25407406,25,4121,剑斗兽的斗器 短剑
25924653,25,4121,剑斗兽 马斗
27178262,61,4157,六武众之理
27346636,25,4121,剑斗兽 希拉克略
27782503,61,4157,六武众-伊郎
27821104,61,4157,六武众的荒行
28649820,0,456,阿匹卜之化神
29590752,25,4121,剑斗兽 屋大维
29863101,0,460,爆裂瞬间移动
29981921,61,4157,真六武众-紫炎
30123142,0,23,同调合击
31247589,25,4121,剑斗兽 双斗
31764700,0,421,于贝尔-极度悲伤的魔龙
31904181,61,4157,六武众-二藏
32012841,0,430,千年盾
32012842,0,430,千年盾
32268901,0,428,飞龙炎
32393580,147,28835987,电子鲨
32441317,0,23,同调解除
33537328,33,4129,地缚神 库西略
34290067,0,440,死亡鲨
35224440,0,25,剑斗训练所
36484016,70,4587543,奇迹同调融合
36737092,0,23,同调变化
37721209,0,485,海龙-泰达路斯
37792478,0,440,代谢鲨
41181774,33,4129,地缚神 维拉科查·拉斯卡
41470137,25,4121,剑斗兽 枪斗
42129512,0,470,巨大树熊
42309337,0,409,反击反击
42592719,25,4121,剑斗兽 亚历山大
44223284,0,440,深海王 恶魔鲨
44430454,61,4157,六武众的侍从
46263076,33,4129,地缚神 卡帕克·阿普
46874015,61,4157,六武众推参！
47986555,0,430,千年石人
48156348,25,4121,剑斗兽 凯撒
48229808,65,295501889,荷鲁斯之黑炎龙 LV8
48505422,61,4157,真六武众-竹刀
49721904,61,4157,真六武众-辉斩
50140163,65,4259843,魅惑的女王 LV7
50702124,0,23,同调磁铁头
50893987,25,4121,剑斗兽 老虎
52128900,0,23,同调礼物
52496105,25,4121,剑斗兽的斗器 护臂
52518793,25,4121,剑斗兽之槛-圆形斗技场
55136228,25,4121,剑斗兽的底力
56339050,33,4129,地缚神的咆哮
57731460,25,4121,剑斗兽 骑斗
58132856,0,424,玩具魔术师
60718396,0,26804268,炎狱反击
61737116,61,4157,六武众的隐退者
64187086,33,4129,地缚神的复活
64398890,61,4157,六武众-矢一
65685470,61,4157,六武众的御灵代
65743242,0,33,地缚灵的引诱
65984457,25,4121,剑斗兽 轻斗
66214679,0,413,暗黑黑炎龙
67723438,0,460,紧急瞬间移动
67987302,0,33,地缚大神官
68540058,0,442,金属化·魔法反射装甲
68540059,0,442,金属化·魔法反射装甲
69025477,61,4157,六武众-枪左
69155991,36,28835876,废铁鲨
69579761,0,470,死亡树熊
69931927,33,4129,地缚神 查库·查略亚
71759912,0,470,海獭树熊
72345736,61,4157,六武众的团结
73285669,25,4121,剑斗兽 车斗
74094021,61,4157,真六武众-瑞穂
75105429,0,23,同调驱逐
75116619,61,4157,真六武众-缘
75830094,65,295501889,荷鲁斯之黑炎龙 LV4
76232340,0,430,千年原人
76384284,25,4121,特洛伊剑斗兽
76407432,0,409,爆裂反击
77642288,25,4121,剑斗兽 追斗
78371393,0,421,于贝尔
78792195,61,4157,六武众的先导
78868776,25,4121,剑斗兽 绳斗
79473793,0,489,青冰白夜龙
79580323,25,4121,剑斗兽 斯巴达克斯
79796561,0,23,同调炮手
79798060,33,4129,地缚神 卡拉伊瓦
81426505,0,8253,六武式三段冲
81601517,0,409,受害者的反击
82482194,0,430,千年蝎
83039729,61,4157,六武众的师范
87257460,65,4259843,魅惑的女王 LV3
87685879,0,470,树熊海獭
88289295,0,23,同调控制
89194033,0,455,圣兽 塞勒凯特
90397998,61,4157,六武众-火门
90582719,25,4121,剑斗兽 独眼斗
90957527,25,4121,剑斗兽 乔治
92300891,17,1507345,机巧桶 真九六
94940436,0,473,磁力召唤圆 LV2
95519486,61,4157,六武众-斩次
96216229,25,4121,剑斗兽的战车
96907086,0,33,地缚旋风
97234686,0,25,剑斗变化
98143165,0,23,同调英雄
98891840,25,4121,休息的剑斗兽
99013397,25,4121,剑斗兽的斗器 长戟
